"biotype_id"	"name"	"object_type"	"db_type"	"attrib_type_id"	"description"	"biotype_group"	"so_acc"	"so_term"
1	"IG_C_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
3	"IG_D_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
5	"IG_J_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
7	"IG_J_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
9	"IG_V_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
11	"IG_V_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
13	"IG_gene"	"gene"	"vega"	NA	NA	"coding"	"SO:0001217"	"protein_coding_gene"
15	"IG_pseudogene"	"gene"	"core,vega,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
17	"LRG_gene"	"gene"	"core"	NA	NA	"LRG"	NA	NA
19	"Mt_rRNA"	"gene"	"core,presite"	73	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
21	"Mt_tRNA"	"gene"	"core,presite"	74	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
23	"Mt_tRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
25	"RNA-Seq_gene"	"gene"	"otherfeatures"	NA	NA	"undefined"	NA	NA
27	"TEC"	"gene"	"core,vega,sangervega"	0	NA	"undefined"	NA	NA
29	"TR_gene"	"gene"	"otherfeatures,vega"	NA	NA	"coding"	"SO:0001217"	"protein_coding_gene"
31	"TR_pseudogene"	"gene"	"otherfeatures,vega"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
35	"cdna_update"	"gene"	"cdna"	NA	NA	"undefined"	NA	NA
37	"cDNA"	"gene"	"otherfeatures"	NA	""	"undefined"	"SO:0000756"	"cDNA"
40	"EST"	"gene"	"otherfeatures"	NA	""	"undefined"	NA	NA
42	"lincRNA"	"gene"	"core,vega,presite"	190	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
44	"miRNA"	"gene"	"core,otherfeatures,vega,presite"	70	"From RefSeq import."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
46	"miRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
48	"misc_RNA"	"gene"	"core,otherfeatures,presite"	NA	NA	"mnoncoding"	"SO:0001263"	"ncRNA_gene"
50	"misc_RNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
52	"ncRNA"	"gene"	"core,otherfeatures"	99	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
54	"non_coding"	"gene"	"core,otherfeatures,rnaseq,vega,presite"	353	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
57	"polymorphic"	"gene"	"vega"	NA	NA	"coding"	"SO:0001217"	"protein_coding_gene"
58	"polymorphic_pseudogene"	"gene"	"core,vega,presite"	67	NA	"coding"	"SO:0001217"	"protein_coding_gene"
60	"processed_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
62	"processed_transcript"	"gene"	"core,vega,presite"	79	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
64	"protein_coding"	"gene"	"core,otherfeatures,rnaseq,vega,presite"	NA	NA	"coding"	"SO:0001217"	"protein_coding_gene"
66	"pseudogene"	"gene"	"core,otherfeatures,vega,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
68	"rRNA"	"gene"	"core,otherfeatures,vega,presite"	NA	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
70	"rRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
75	"scRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
77	"snRNA"	"gene"	"core,otherfeatures,vega,presite"	68	"From Havana manual annotation."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
79	"snRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
81	"snlRNA"	"gene"	"core"	78	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
83	"snoRNA"	"gene"	"core,otherfeatures,vega,presite"	69	"small nucleolar RNA."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
85	"snoRNA_pseudogene"	"gene"	"core"	75	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
87	"tRNA"	"gene"	"core,otherfeatures,presite"	76	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
89	"tRNA_pseudogene"	"gene"	"core,otherfeatures"	NA	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
